3MA	[np] - 3MA [np]
Danielle	[np] - Danielle [np]
Daniels	[np] - Daniels [np]
Danilo	[np] - Danilo [np]
Danièle	[np] - Danièle [np]
Danny	[np] - Danny [np]
danois	[adj.f] - danés [adj.f]
danois	[adj.m.sp] - danés [adj.m.ND]
danois	[adj.m.sp] - danés [adj.m.pl]
danois	[adj.m.sp] - danés [adj.m.sg]
Danone	[np] - Danone [np]
dans	[pr] - en [pr]
dans bien de	[pr] - en la mayoría de [pr]
dans ce temps-là	[adv] - en aquel tiempo [adv]
dans des conditions semblables	[adv] - en iguales condiciones [adv]
dans des difficultés	[adv] - en dificultades [adv]
dans l'affirmative	[adv] - en caso afirmativo [adv]
dans l'entourage de	[pr] - en los medios allegados de [pr]
dans la foulée	[adv] - sobre la marcha [adv]
dans la mesure où	[cnjadv] - siempre y cuando [cnjadv]
dans le but de	[pr] - con el fin de [pr]
dans le cadre de	[pr] - en el marco de [pr]
dans le cas où	[cnjadv] - en caso de que [cnjadv]
dans le cas où	[cnjadv] - en el caso de que [cnjadv]
dans le cours de	[pr] - en el transcurso de [pr]
dans le délai le plus court possible	[adv] - en el plazo más breve posible [adv]
dans le même sens	[adv] - en el mismo sentido [adv]
dans le temps que	[cnjadv] - en el tiempo que [cnjadv]
dans les mêmes conditions	[adv] - en igualdad de condiciones [adv]
dans peu d'années	[adv] - dentro de pocos años [adv]
dans peu d'heures	[adv] - en pocas horas [adv]
dans peu de jours	[adv] - dentro de pocos días [adv]
dans peu de minutes	[adv] - en pocos minutos [adv]
dans peu de mois	[adv] - dentro de pocos meses [adv]
dans peu de secondes	[adv] - en pocos segundos [adv]
dans peu de semaines	[adv] - dentro de pocas semanas [adv]
dans peu de temps	[adv] - dentro de poco tiempo [adv]
dans peu de temps	[adv] - dentro de poco [adv]
dans sa totalité	[adv] - en su totalidad [adv]
dans tous les cas	[adv] - de todas maneras [adv]
dans un moment	[adv] - dentro de un momento [adv]
dans un premier temps	[adv] - en un primer momento [adv]
dans une certaine mesure	[adv] - en cierta medida [adv]
dans une certaine mesure	[adv] - hasta cierto punto [adv]
dans une situation désavantageuse	[adv] - en inferioridad de condiciones [adv]
danse	[n.f] - baile [n.m]
danser	[vblex] - bailar [vblex]
danser	[vblex] - danzar [vblex]
dantzari	[n] - dantzari [n]
Daphné	[np] - Dafne [np]
Dardanelles	[np] - Dardanelos [np]
Darfour	[np] - Darfour [np]
Dario	[np] - Dario [np]
Dario Fo	[np] - Dario Fo [np]
Dariusz	[np] - Dariusz [np]
Darko	[np] - Darko [np]
Darío	[np] - Darío [np]
Dassault	[np] - Dassault [np]
datation	[n] - datación [n]
date	[n] - fecha [n]
date d'échéance	[n] - fecha de vencimiento [n]
date d'émision	[n] - fecha de emisión [n]
date de paiement	[n] - fecha de abono [n]
date de régularisation	[n] - fecha de formalización [n]
date de valeur	[n] - fecha de valor [n]
date limite	[n] - fecha de caducidad [n]
date prévue de fin	[n] - fecha prevista de fin [n]
dater	[vblex] - datar [vblex]
dater	[vblex] - fechar [vblex]
Dauphiné	[np] - Dauphiné [np]
Dauphiné	[np] - Delfinado [np]
davantage	[adv] - más [adv]
David	[np] - David [np]
Davide	[np] - Davide [np]
Davis	[np] - Davis [np]
Davos	[np] - Davos [np]
Dañobeitia	[np] - Dañobeitia [np]
de	[pr] - de [pr]
de baskonia	[adj.mf.sp] - baskonista [adj.mf.ND]
de baskonia	[adj.mf.sp] - baskonista [adj.mf.pl]
de baskonia	[adj.mf.sp] - baskonista [adj.mf.sg]
De Beers	[np] - De Beers [np]
de bidasoa	[adj.mf.sp] - bidasotarra [adj.mf.ND]
de bidasoa	[adj.mf.sp] - bidasotarra [adj.mf.pl]
de bidasoa	[adj.mf.sp] - bidasotarra [adj.mf.sg]
de bilbao	[adj.mf.sp] - bilbaíno [adj.f.pl]
de bilbao	[adj.mf.sp] - bilbaíno [adj.f.sg]
de bilbao	[adj.mf.sp] - bilbaíno [adj.GD.ND]
de bilbao	[adj.mf.sp] - bilbaíno [adj.m.pl]
de bilbao	[adj.mf.sp] - bilbaíno [adj.m.sg]
de Burgos	[adj.mf.sp] - burgalés [adj.f.pl]
de Burgos	[adj.mf.sp] - burgalés [adj.f.sg]
de Burgos	[adj.mf.sp] - burgalés [adj.GD.ND]
de Burgos	[adj.mf.sp] - burgalés [adj.m.pl]
de Burgos	[adj.mf.sp] - burgalés [adj.m.sg]
de cantabria	[adj.mf.sp] - cántabro [adj.f.pl]
de cantabria	[adj.mf.sp] - cántabro [adj.f.sg]
de cantabria	[adj.mf.sp] - cántabro [adj.GD.ND]
de cantabria	[adj.mf.sp] - cántabro [adj.m.pl]
de cantabria	[adj.mf.sp] - cántabro [adj.m.sg]
de caractère obligatoire	[adv] - de carácter forzoso [adv]
de castro	[adj.mf.sp] - castreño [adj.f.pl]
de castro	[adj.mf.sp] - castreño [adj.f.sg]
de castro	[adj.mf.sp] - castreño [adj.GD.ND]
de castro	[adj.mf.sp] - castreño [adj.m.pl]
de castro	[adj.mf.sp] - castreño [adj.m.sg]
de cette manière	[adv] - de este modo [adv]
de championnat	[adj.mf] - liguero [adj.f]
de championnat	[adj.mf] - liguero [adj.GD]
de championnat	[adj.mf] - liguero [adj.m]
de commerce et de gestion	[adj.mf.sp] - empresarial [adj.mf.ND]
de concert	[adv] - conjuntamente [adv]
de conseil	[adj.mf.sp] - asesor [adj.f.pl]
de conseil	[adj.mf.sp] - asesor [adj.f.sg]
de conseil	[adj.mf.sp] - asesor [adj.GD.ND]
de conseil	[adj.mf.sp] - asesor [adj.m.pl]
de conseil	[adj.mf.sp] - asesor [adj.m.sg]
de crainte que	[cnjadv] - por miedo a que [cnjadv]
de crédit	[adj.mf.sp] - crediticio [adj.f.pl]
de crédit	[adj.mf.sp] - crediticio [adj.f.sg]
de crédit	[adj.mf.sp] - crediticio [adj.GD.ND]
de crédit	[adj.mf.sp] - crediticio [adj.m.pl]
de crédit	[adj.mf.sp] - crediticio [adj.m.sg]
de derrière	[adj.mf.sp] - trasero [adj.f.pl]
de derrière	[adj.mf.sp] - trasero [adj.f.sg]
de derrière	[adj.mf.sp] - trasero [adj.GD.ND]
de derrière	[adj.mf.sp] - trasero [adj.m.pl]
de derrière	[adj.mf.sp] - trasero [adj.m.sg]
de devant	[adj.mf.sp] - delantero [adj.mf.ND]
de droite	[adj.mf.sp] - derechista [adj.mf.ND]
de droite	[adj.mf.sp] - derechista [adj.mf.pl]
de droite	[adj.mf.sp] - derechista [adj.mf.sg]
de droite	[n.mf.sp] - derechista [n.mf.ND]
de droite	[n.mf.sp] - derechista [n.mf.pl]
de droite	[n.mf.sp] - derechista [n.mf.sg]
de développement	[adj.mf.sp] - desarrollador [adj.f.pl]
de développement	[adj.mf.sp] - desarrollador [adj.f.sg]
de développement	[adj.mf.sp] - desarrollador [adj.GD.ND]
de développement	[adj.mf.sp] - desarrollador [adj.m.pl]
de développement	[adj.mf.sp] - desarrollador [adj.m.sg]
de façon exponentielle	[adv] - exponencialmente [adv]
de façon inattendu	[adv] - inesperadamente [adv]
de façon ininterrompue	[adv] - ininterrumpidamente [adv]
de façon prévisible	[adv] - previsiblemente [adv]
de façon que	[cnjadv] - de manera que [cnjadv]
de force	[adv] - a la fuerza [adv]
de gasteiz	[adj.mf.sp] - gazteiztarra [adj.mf.ND]
de gasteiz	[adj.mf.sp] - gazteiztarra [adj.mf.pl]
de gasteiz	[adj.mf.sp] - gazteiztarra [adj.mf.sg]
de gré ou de force	[adv] - de grado o por fuerza [adv]
de gré à gré	[adv] - de mutuo acuerdo [adv]
de guérilleros	[adj.mf.sp] - guerrillero [adj.mf.ND]
De Juana Chaos	[np] - De Juana Chaos [np]
de l'état	[adj.mf.sp] - estatal [adj.mf.ND]
de l'état	[adj.mf.sp] - estatal [adj.mf.pl]
de l'état	[adj.mf.sp] - estatal [adj.mf.sg]
de la bière	[adj.mf.sp] - cervecero [adj.f.pl]
de la bière	[adj.mf.sp] - cervecero [adj.f.sg]
de la bière	[adj.mf.sp] - cervecero [adj.GD.ND]
de la bière	[adj.mf.sp] - cervecero [adj.m.pl]
de la bière	[adj.mf.sp] - cervecero [adj.m.sg]
de la manche	[adj.mf.sp] - manchego [adj.f.pl]
de la manche	[adj.mf.sp] - manchego [adj.f.sg]
de la manche	[adj.mf.sp] - manchego [adj.GD.ND]
de la manche	[adj.mf.sp] - manchego [adj.m.pl]
de la manche	[adj.mf.sp] - manchego [adj.m.sg]
de la même manière	[adv] - del mismo modo [adv]
de la rioja	[adj.mf.sp] - riojano [adj.f.pl]
de la rioja	[adj.mf.sp] - riojano [adj.f.sg]
de la rioja	[adj.mf.sp] - riojano [adj.GD.ND]
de la rioja	[adj.mf.sp] - riojano [adj.m.pl]
de la rioja	[adj.mf.sp] - riojano [adj.m.sg]
De la Rua	[np] - De la Rua [np]
de lanzarote	[adj.mf.sp] - lanzaroteño [adj.f.pl]
de lanzarote	[adj.mf.sp] - lanzaroteño [adj.f.sg]
de lanzarote	[adj.mf.sp] - lanzaroteño [adj.GD.ND]
de lanzarote	[adj.mf.sp] - lanzaroteño [adj.m.pl]
de lanzarote	[adj.mf.sp] - lanzaroteño [adj.m.sg]
de lasarte	[adj.mf.sp] - lasartearra [adj.mf.ND]
de lasarte	[adj.mf.sp] - lasartearra [adj.mf.pl]
de lasarte	[adj.mf.sp] - lasartearra [adj.mf.sg]
de long en large	[adv] - de un lado a otro [adv]
de longue date	[adv] - desde hace tiempo [adv]
de longue haleine	[adv] - de larga duración [adv]
de longue main	[adv] - desde hace tiempo [adv]
de là	[cnjadv] - de ahí que [cnjadv]
De Maglia	[np] - De Maglia [np]
de manière que	[cnjadv] - de manera que [cnjadv]
de manière satisfaisante	[adv] - satisfactoriamente [adv]
de mieux en mieux	[adv] - cada vez mejor [adv]
de mieux en mieux	[adv] - de bien en mejor [adv]
de mieux en mieux	[cnjadv] - cada vez mejor [cnjadv]
de mode	[adj] - de moda [adj]
de moins en moins	[adv] - cada vez menos [adv]
de moins en moins	[cnjadv] - cada vez menos [cnjadv]
de mon temps	[adv] - en mis tiempos [adv]
de même	[adv] - asimismo [adv]
de même que	[cnjadv] - al igual que [cnjadv]
de même que	[cnjadv] - del mismo modo que [cnjadv]
de nos jours	[adv] - hoy en dia [adv]
de nouveau	[adv] - nuevamente [adv]
de noël	[adj.mf.sp] - navideño [adj.f.pl]
de noël	[adj.mf.sp] - navideño [adj.f.sg]
de noël	[adj.mf.sp] - navideño [adj.GD.ND]
de noël	[adj.mf.sp] - navideño [adj.m.pl]
de noël	[adj.mf.sp] - navideño [adj.m.sg]
de pampelune	[adj.mf.sp] - pamplonés [adj.f.pl]
de pampelune	[adj.mf.sp] - pamplonés [adj.f.sg]
de pampelune	[adj.mf.sp] - pamplonés [adj.GD.ND]
de pampelune	[adj.mf.sp] - pamplonés [adj.m.pl]
de pampelune	[adj.mf.sp] - pamplonés [adj.m.sg]
de pasaia	[adj.mf.sp] - pasaitarra [adj.mf.ND]
de pasaia	[adj.mf.sp] - pasaitarra [adj.mf.pl]
de pasaia	[adj.mf.sp] - pasaitarra [adj.mf.sg]
de peur que	[cnjadv] - por miedo a que [cnjadv]
de pire en pire	[cnjadv] - cada vez peor [cnjadv]
de plus	[adv] - además [adv]
de plus en plus	[adv] - cada vez más [adv]
de plus en plus	[cnjadv] - cada vez más [cnjadv]
de point en point	[adv] - punto a punto [adv]
de pontevedra	[adj.mf.sp] - pontevedrés [adj.f.pl]
de pontevedra	[adj.mf.sp] - pontevedrés [adj.f.sg]
de pontevedra	[adj.mf.sp] - pontevedrés [adj.GD.ND]
de pontevedra	[adj.mf.sp] - pontevedrés [adj.m.pl]
de pontevedra	[adj.mf.sp] - pontevedrés [adj.m.sg]
de portugalete	[adj.mf.sp] - portugalujo [adj.f.pl]
de portugalete	[adj.mf.sp] - portugalujo [adj.f.sg]
de portugalete	[adj.mf.sp] - portugalujo [adj.GD.ND]
de portugalete	[adj.mf.sp] - portugalujo [adj.m.pl]
de portugalete	[adj.mf.sp] - portugalujo [adj.m.sg]
de préférence	[adv] - preferentemente [adv]
de riveira	[adj.mf.sp] - riveirense [adj.f.pl]
de riveira	[adj.mf.sp] - riveirense [adj.f.sg]
de riveira	[adj.mf.sp] - riveirense [adj.GD.ND]
de riveira	[adj.mf.sp] - riveirense [adj.m.pl]
de riveira	[adj.mf.sp] - riveirense [adj.m.sg]
de réputation	[adj.mf.sp] - reputacional [adj.mf.ND]
de réputation	[adj.mf.sp] - reputacional [adj.mf.pl]
de réputation	[adj.mf.sp] - reputacional [adj.mf.sg]
de saint-sébastien	[adj.mf.sp] - donostiarra [adj.mf.ND]
de saint-sébastien	[adj.mf.sp] - donostiarra [adj.mf.pl]
de saint-sébastien	[adj.mf.sp] - donostiarra [adj.mf.sg]
de son plein gré	[adv] - por su propia voluntad [adv]
de sorte que	[cnjadv] - de forma que [cnjadv]
de sorte que	[cnjadv] - de manera que [cnjadv]
de sorte que	[cnjadv] - de modo que [cnjadv]
de sorte que	[cnjadv] - de suerte que [cnjadv]
de telle façon que	[cnjadv] - de tal modo que [cnjadv]
de telle sorte que	[cnjadv] - de tal manera que [cnjadv]
de temps en autre	[adv] - de cuando en cuando [adv]
de temps en temps	[adv] - de vez en cuando [adv]
de tout temps	[adv] - desde siempre [adv]
de toute façon	[adv] - de todos modos [adv]
de toute façon	[adv] - en cualquier caso [adv]
de toute manière	[adv] - de todas formas [adv]
de toutes ses forces	[adv] - con todas sus fuerzas [adv]
de travail	[adj.mf.sp] - laboral [adj.mf.ND]
de travail	[adj.mf.sp] - laboral [adj.mf.pl]
de travail	[adj.mf.sp] - laboral [adj.mf.sg]
de trop	[adv] - sobradamente [adv]
de ténériffe	[adj.mf.sp] - tinerfeño [adj.f.pl]
de ténériffe	[adj.mf.sp] - tinerfeño [adj.f.sg]
de ténériffe	[adj.mf.sp] - tinerfeño [adj.GD.ND]
de ténériffe	[adj.mf.sp] - tinerfeño [adj.m.pl]
de ténériffe	[adj.mf.sp] - tinerfeño [adj.m.sg]
de valeur	[adj.mf.sp] - valioso [adj.f.pl]
de valeur	[adj.mf.sp] - valioso [adj.f.sg]
de valeur	[adj.mf.sp] - valioso [adj.GD.ND]
de valeur	[adj.mf.sp] - valioso [adj.m.pl]
de valeur	[adj.mf.sp] - valioso [adj.m.sg]
de vandalisme	[adj.mf.sp] - vandálico [adj.f.pl]
de vandalisme	[adj.mf.sp] - vandálico [adj.f.sg]
de vandalisme	[adj.mf.sp] - vandálico [adj.GD.ND]
de vandalisme	[adj.mf.sp] - vandálico [adj.m.pl]
de vandalisme	[adj.mf.sp] - vandálico [adj.m.sg]
de vitoria	[adj.mf.sp] - vitoriano [adj.f.pl]
de vitoria	[adj.mf.sp] - vitoriano [adj.f.sg]
de vitoria	[adj.mf.sp] - vitoriano [adj.GD.ND]
de vitoria	[adj.mf.sp] - vitoriano [adj.m.pl]
de vitoria	[adj.mf.sp] - vitoriano [adj.m.sg]
de vive force	[adv] - a viva fuerza [adv]
de zarautz	[adj.mf.sp] - zarauztarra [adj.mf.ND]
de zarautz	[adj.mf.sp] - zarauztarra [adj.mf.pl]
de zarautz	[adj.mf.sp] - zarauztarra [adj.mf.sg]
Deauville	[np] - Deauville [np]
Deba	[np] - Deba [np]
Debré	[np] - Debré [np]
Debussy	[np] - Debussy [np]
Deccan	[np] - Decán [np]
deception	[n] - decepción [n]
decidément	[adv] - decididamente [adv]
Decker	[np] - Decker [np]
declaration	[n] - declaración [n]
dedans	[adv] - dentro [adv]
Degos	[np] - Degos [np]
degré	[n.m] - grada [n.f]
degré	[n] - grado [n]
dehors	[adv] - afuera [adv]
dehors	[adv] - fuera [adv]
Deia	[np] - Deia [np]
Deira	[np] - Deira [np]
Dekker	[np] - Dekker [np]
Delanoë	[np] - Delanoë [np]
Delarue	[np] - Delarue [np]
Delatte	[np] - Delatte [np]
Delgado	[np] - Delgado [np]
Delhi	[np] - Delhi [np]
Dell	[np] - Dell [np]
Delors	[np] - Delors [np]
Delphes	[np] - Delfos [np]
Delporte	[np] - Delporte [np]
demain	[adv] - mañana [adv]
demande	[n.f] - requerimiento [n.m]
demande	[n] - demanda [n]
demande	[n] - petición [n]
demande d'admission	[n] - solicitud de ingreso [n]
demande d'aval	[n] - solicitud de aval [n]
demande de chéquier	[n] - solicitud de talonario [n]
demande de crédit	[n] - solicitud de crédito [n]
demander	[vblex] - pedir [vblex]
demander	[vblex] - preguntar [vblex]
demandeur	[adj] - peticionario [adj]
demeure	[n] - mansión [n]
demeure	[n] - morada [n]
demeurer	[vblex] - permanecer [vblex]
demeurer enregistré	[vblex] - quedar registrado [vblex]
demi	[n.m] - mitad [n.f]
demi-centre	[n] - centrocampista [n]
demi-finale	[n] - semifinal [n]
demoiselle	[n] - doncella [n]
Deneuve	[np] - Deneuve [np]
Denis	[np] - Denis [np]
Dennis	[np] - Dennis [np]
dense	[adj.mf] - denso [adj.f]
dense	[adj.mf] - denso [adj.GD]
dense	[adj.mf] - denso [adj.m]
densité	[n] - densidad [n]
dent	[n.f] - diente [n.m]
dentaire	[adj] - dental [adj]
dentiste	[n] - dentista [n]
dentition	[n] - dentición [n]
Depardieu	[np] - Depardieu [np]
Deportivo Alavés	[np] - Deportivo Alavés [np]
depuis	[pr] - desde [pr]
depuis longtemps	[adv] - desde hace mucho tiempo [adv]
depuis longtemps	[adv] - desde hace tiempo [adv]
depuis lors	[adv] - desde entonces [adv]
depuis que	[cnjadv] - desde que [cnjadv]
derby	[n] - derbi [n]
dermo-épidermique	[adj.mf] - dermoepidérmico [adj.f]
dermo-épidermique	[adj.mf] - dermoepidérmico [adj.GD]
dermo-épidermique	[adj.mf] - dermoepidérmico [adj.m]
dernier	[adj] - último [adj]
dernière minute	[n] - última hora [n]
dernièrement	[adv] - últimamente [adv]
derrière	[adv] - atrás [adv]
derrière	[adv] - detrás [adv]
derrière	[n] - trasero [n]
derrière	[pr] - detrás de [pr]
derrière	[pr] - en pos de [pr]
des entreprises	[adj.mf.sp] - empresarial [adj.mf.ND]
des entreprises	[adj.mf.sp] - empresarial [adj.mf.pl]
des entreprises	[adj.mf.sp] - empresarial [adj.mf.sg]
des Templiers	[adj.mf.sp] - templario [adj.f.pl]
des Templiers	[adj.mf.sp] - templario [adj.f.sg]
des Templiers	[adj.mf.sp] - templario [adj.GD.ND]
des Templiers	[adj.mf.sp] - templario [adj.m.pl]
des Templiers	[adj.mf.sp] - templario [adj.m.sg]
des vacances	[adj.mf.sp] - vacacional [adj.mf.ND]
des vacances	[adj.mf.sp] - vacacional [adj.mf.pl]
des vacances	[adj.mf.sp] - vacacional [adj.mf.sg]
descendance	[n] - descendencia [n]
descendant	[adj.f] - descendiente [adj.mf]
descendant	[adj.GD] - descendente [adj.mf]
descendant	[adj.GD] - descendiente [adj.mf]
descendant	[adj.m] - descendiente [adj.mf]
descendre	[vblex] - bajar [vblex]
descendre	[vblex] - descender [vblex]
descente	[n.f] - descenso [n.m]
description	[n] - descripción [n]
Desiderio	[np] - Desiderio [np]
design	[adj] - de diseño [adj]
design industriel	[n] - diseño industrial [n]
Desmarest	[np] - Desmarest [np]
dessaisissement	[n] - desasimiento [n]
dessein	[n] - propósito [n]
dessert	[n] - postre [n]
dessin	[n] - dibujo [n]
dessiner	[vblex] - dibujar [vblex]
dessiner	[vblex] - diseñar [vblex]
dessous	[adv] - debajo [adv]
dessus	[adv] - encima [adv]
destin	[n] - destino [n]
destin	[n] - devenir [n]
destinataire	[adj.mf] - destinatario [adj.f]
destinataire	[adj.mf] - destinatario [adj.GD]
destinataire	[adj.mf] - destinatario [adj.m]
destination	[n.f] - destino [n.m]
destiner	[vblex] - destinar [vblex]
destituer	[vblex] - destituir [vblex]
destitution	[n] - destitución [n]
destructeur	[adj] - destructor [adj]
destruction	[n.f] - destrozo [n.m]
destruction	[n] - destrucción [n]
detention	[n] - detención [n]
dette	[n.f] - deuda [n.f]
deuil	[n] - duelo [n]
deuil	[n] - luto [n]
Deusto	[np] - Deusto [np]
Deutsche	[np] - Deutsche [np]
Deutshe	[np] - Deutshe [np]
deux	[num] - dos [num]
deux cents	[num] - doscientos [num]
Deux-Roses	[np] - Dos Rosas [np]
Deux-Sèvres	[np] - Deux-Sèvres [np]
deuxième	[adj.mf] - segundo [adj.f]
deuxième	[adj.mf] - segundo [adj.GD]
deuxième	[adj.mf] - segundo [adj.m]
deuxième division	[n] - segunda división [n]
deuxièmement	[adv] - en segundo lugar [adv]
devancer	[vblex] - avanzar [vblex]
devant	[adv] - delante [adv]
devant	[adv] - enfrente [adv]
devant	[n.m] - delantera [n.f]
devant	[n] - delantero [n]
devant	[pr] - ante [pr]
devant	[pr] - delante de [pr]
devant	[pr] - en frente de [pr]
devant notaire	[adv] - ante notario [adv]
devenir	[vblex] - acaecer [vblex]
devenir	[vblex] - acontecer [vblex]
devenir	[vblex] - devenir [vblex]
Devesa	[np] - Devesa [np]
deviner	[vblex] - acertar [vblex]
deviner	[vblex] - adivinar [vblex]
devise	[n.f] - lema [n.m]
devise	[n] - divisa [n]
devoir	[n] - deber [n]
devoir	[vblex] - deber [vblex]
devoir	[vbmod] - deber [vbmod]
devoir	[vbmod] - haber de [vbmod]
devoir	[vbmod] - tener que [vbmod]
dextérité	[n] - destreza [n]
Dfiesta	[np] - Dfiesta [np]
Dhaka	[np] - Dacca [np]
Dhaulagiri	[np] - Dhaulagiri [np]
DHL	[np] - DHL [np]
Dhombres	[np] - Dhombres [np]
diable	[n] - diablo [n]
diablerie	[n] - diablura [n]
diabolisation	[n] - diabolización [n]
diagnostic	[n] - diagnóstico [n]
diagnostiquer	[vblex] - diagnosticar [vblex]
Diagonal	[np.loc] - Diagonal [np.loc]
dialogue	[n] - diálogo [n]
dialoguer	[vblex] - dialogar [vblex]
diamant	[n] - diamante [n]
Diana	[np] - Diana [np]
Diard	[np] - Diard [np]
Diario Vasco	[np] - Diario Vasco [np]
diarrhée	[n] - diarrea [n]
diaspora	[n] - diáspora [n]
DiCaprio	[np] - DiCaprio [np]
Dick	[np] - Dick [np]
Dickner	[np] - Dickner [np]
dictateur	[n] - dictador [n]
dictature	[n] - dictadura [n]
dicter	[vblex] - dictar [vblex]
diction	[n] - dicción [n]
dictionnaire	[n] - diccionario [n]
Didier	[np] - Didier [np]
Diego	[np] - Diego [np]
Diego de Almagro	[np] - Diego de Almagro [np]
diesel	[n] - diesel [n]
dieu	[n] - dios [n]
diffamation	[n] - difamación [n]
difficile	[adj] - difícil [adj]
difficilement	[adv] - difícilmente [adv]
difficulté	[n] - dificultad [n]
diffuser	[vblex] - difundir [vblex]
diffusion	[n] - difusión [n]
différence	[n] - diferencia [n]
différenciation	[n] - diferenciación [n]
différencier	[vblex] - diferenciar [vblex]
différent	[adj.f] - diferente [adj.mf]
différent	[adj.GD] - diferente [adj.mf]
différent	[adj.m] - diferente [adj.mf]
différent	[adj] - diferenciado [adj]
différent	[adj] - distinto [adj]
différer	[vblex] - diferir [vblex]
digestif	[n] - digestivo [n]
digestion	[n] - digestión [n]
digital	[adj.f] - digital [adj.mf]
digital	[adj.GD] - digital [adj.mf]
digital	[adj.m] - digital [adj.mf]
Digitala	[np] - Digitala [np]
digne	[adj.mf] - digno [adj.f]
digne	[adj.mf] - digno [adj.GD]
digne	[adj.mf] - digno [adj.m]
Digne-les-Bains	[np] - Digne-les-Bains [np]
dignement	[adv] - dignamente [adv]
dignité	[n] - dignidad [n]
digue	[n.f] - dique [n.m]
Dijon	[np] - Dijon [np]
dilatation	[n] - dilatación [n]
Dileita Mohamed Dileita	[np] - Dileita Mohamed Dileita [np]
Dili	[np] - Dili [np]
diligence	[n] - diligencia [n]
dilution	[n] - dilución [n]
dimanche	[n] - domingo [n]
dimension	[n] - dimensión [n]
diminuer	[vblex] - aminorar [vblex]
diminuer	[vblex] - decrecer [vblex]
diminuer	[vblex] - disminuir [vblex]
diminuer	[vblex] - minorar [vblex]
diminution	[n] - disminución [n]
diminué	[adj] - minorado [adj]
Dimitri	[np] - Dimitri [np]
dinosaure	[n] - dinosaurio [n]
Dioclétien	[np] - Diocleciano [np]
Dioné	[np] - Dione [np]
Dior	[np] - Dior [np]
Diouf	[np] - Diouf [np]
dioxyde	[n] - dióxido [n]
diplomate	[n.mf] - diplomático [n.f]
diplomate	[n.mf] - diplomático [n.GD]
